condition	total	abs_usage	relUsg_low	relUsg_medium	relUsg_high
Std	297	low	0.107744107744108	0.0168350168350168	0.0505050505050505
Std	297	medium	0.481481481481481	0.0808080808080808	0.0707070707070707
Std	297	high	0.114478114478114	0.063973063973064	0.0134680134680135
HiT	300	low	0.116666666666667	0.0366666666666667	0.0533333333333333
HiT	300	medium	0.5	0.0833333333333333	0.06
HiT	300	high	0.0766666666666667	0.0633333333333333	0.01
LpH	291	low	0.140893470790378	0.0274914089347079	0.0378006872852234
LpH	291	medium	0.467353951890034	0.0893470790378007	0.0756013745704467
LpH	291	high	0.0893470790378007	0.0652920962199313	0.00687285223367698
Osm	283	low	0.123674911660777	0.0282685512367491	0.0424028268551237
Osm	283	medium	0.441696113074205	0.0954063604240283	0.0671378091872792
Osm	283	high	0.176678445229682	0.0176678445229682	0.00706713780918728
