condition	model	total	good	bad	worse	fluxes_ON	fluxes_OFF
Std	ecM	460	0.871739130434783	0.00869565217391304	0.119565217391304	0.0521739130434783	0.058695652173913
Std	ecP	460	0.81304347826087	0.0456521739130435	0.141304347826087	0.0760869565217391	0.0478260869565217
HiT	ecM	458	0.851528384279476	0.0480349344978166	0.100436681222707	0.074235807860262	0.0305676855895196
HiT	ecP	459	0.790849673202614	0.0479302832244009	0.161220043572985	0.106753812636166	0.0501089324618736
LpH	ecM	458	0.88646288209607	0.0305676855895196	0.0829694323144105	0.0567685589519651	0.0262008733624454
LpH	ecP	457	0.831509846827133	0.0765864332603939	0.0919037199124726	0.0700218818380744	0.0109409190371991
Osm	ecM	458	0.816593886462882	0.106986899563319	0.0764192139737991	0.0567685589519651	0.0174672489082969
Osm	ecP	459	0.712418300653595	0.0522875816993464	0.235294117647059	0.122004357298475	0.0740740740740741
