condition	total	abs_usage	relUsg_low	relUsg_medium	relUsg_high
Std	186	low	0.134408602150538	0.0268817204301075	0.0376344086021505
Std	186	medium	0.381720430107527	0.0806451612903226	0.0537634408602151
Std	186	high	0.193548387096774	0.00537634408602151	0.0860215053763441
HiT	207	low	0.169082125603865	0.0483091787439614	0.0579710144927536
HiT	207	medium	0.391304347826087	0.0579710144927536	0.0772946859903382
HiT	207	high	0.111111111111111	0.00483091787439614	0.0821256038647343
LpH	203	low	0.172413793103448	0.0591133004926108	0.0492610837438424
LpH	203	medium	0.344827586206897	0.0738916256157636	0.0640394088669951
LpH	203	high	0.133004926108374	0.00492610837438424	0.0985221674876847
