condition	model	total	good	bad	worse	fluxes_ON	fluxes_OFF
Std	ecM	379	0.817941952506596	0.0263852242744063	0.155672823218997	0.0633245382585752	0.0712401055408971
Std	ecP	378	0.82010582010582	0.044973544973545	0.134920634920635	0.0661375661375661	0.044973544973545
HiT	ecM	377	0.814323607427056	0.0663129973474801	0.119363395225464	0.0424403183023873	0.0583554376657825
HiT	ecP	381	0.816272965879265	0.0446194225721785	0.139107611548556	0.0551181102362205	0.0498687664041995
LpH	ecM	378	0.80952380952381	0.0529100529100529	0.137566137566138	0.0476190476190476	0.0396825396825397
LpH	ecP	377	0.73209549071618	0.122015915119363	0.145888594164456	0.0901856763925729	0.0397877984084881
Osm	ecM	378	0.814814814814815	0.0502645502645503	0.134920634920635	0.0502645502645503	0.0423280423280423
Osm	ecP	381	0.750656167979003	0.139107611548556	0.110236220472441	0.0551181102362205	0.041994750656168
