condition	total	abs_usage	relUsg_low	relUsg_medium	relUsg_high
Std	181	low	0.198895027624309	0.0331491712707182	0.0441988950276243
Std	181	medium	0.414364640883978	0.0386740331491713	0.0497237569060773
Std	181	high	0.187845303867403	0.0110497237569061	0.0220994475138122
HiT	154	low	0.149350649350649	0.051948051948052	0.038961038961039
HiT	154	medium	0.461038961038961	0.051948051948052	0.025974025974026
HiT	154	high	0.194805194805195	0	0.025974025974026
LpH	161	low	0.142857142857143	0.0559006211180124	0.0807453416149068
LpH	161	medium	0.372670807453416	0.0559006211180124	0.031055900621118
LpH	161	high	0.211180124223602	0.0062111801242236	0.0434782608695652
Osm	151	low	0.132450331125828	0.00662251655629139	0.0529801324503311
Osm	151	medium	0.490066225165563	0.0529801324503311	0.0463576158940397
Osm	151	high	0.185430463576159	0.00662251655629139	0.0264900662251656
