cSource	optimal	generalist	ecModel
Acetate	0.601	0.7	0.582722952474549
Fumarate	0.594	0.675	0.59300210630595
Galactose 	0.578	0.628	0.617645999716882
Glucose	0.574	0.624	0.587024065217439
Glucosamine	0.57	0.627	0.597514459053836
Glycerol	0.572	0.634	0.597509671171462
Pyruvate	0.587	0.619	0.605820229810312
Succinate	0.596	0.677	0.609549293348176
Fructose	0.571	0.625	0.595173211352626
Mannose	0.572	0.627	0.597873335532563
Xylose	0.579	0.636	0.592772369011932
