protein_IDs	previous_values	modified_values	flex_Mass
prot_W0T6X1	1.26139648707942e-06	1.73982391677434e-06	2.438418782741e-05
prot_W0T7I0	4.16261590006472e-06	5.74142925991973e-06	6.56766780414022e-05
prot_W0T9D3	2.54852291497637e-06	3.51513672769899e-06	4.29792169186164e-05
prot_W0TAM6	3.0134900691326e-06	4.15645845611805e-06	6.16793860586439e-05
prot_W0TBM3	2.73858280978633e-05	3.77728328827456e-05	0.000573980587040155
prot_W0TEE1	4.68295412662675e-06	6.4591234192563e-06	0.000208492914876302
prot_W0TF60	1.22430011637832e-05	1.68865748842893e-05	0.000284714314541097
prot_W0TFF9	9.5524528074243e-08	3.7571835021842e-06	0.000252590792964027
prot_W0TFW7	4.33302982075005e-06	0.000115655040186954	0.00332195788489769
