CLIB122_UNIPROT	CLIB122_NCBI	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D
Q6CI99	YALI0A00352g1_1	3.13344E-05	3.92406E-05	5.09286E-05	3.9422E-05	3.05118E-05	3.0684E-05	3.53304E-05	3.98995E-05	4.2509E-05	3.86183E-05	5.066E-05
Q6CGD8	YALI0A20152g1_1	2.3751E-06	2.97437E-06	2.8184E-06	4.07348E-06	9.79818E-07	1.58878E-06	9.11745E-07	3.90731E-06	2.05374E-06	1.3753E-06	1.43957E-06
Q6C326	YALI0F03179g1_1	9.35263E-05	0.00010666	8.23398E-05	7.16185E-05	8.66338E-05	6.42792E-05	6.97343E-05	6.26691E-05	6.73091E-05	8.38001E-05	8.34789E-05
Q6CCN4	YALI0C07953g1_1	6.25956E-05	8.18881E-05	5.02486E-05	4.8126E-05	5.08986E-05	4.00353E-05	4.19504E-05	3.63852E-05	3.39302E-05	3.95087E-05	4.88941E-05
Q6C3M8	YALI0E33517g1_1	2.90252E-05	3.28119E-05	3.22729E-05	2.82215E-05	3.36255E-05	2.7481E-05	3.04673E-05	2.31373E-05	1.83693E-05	2.11743E-05	2.25471E-05
F2Z650	YALI0E01056g1_1	2.19965E-05	3.11004E-05	3.45514E-05	2.59055E-05	1.68915E-05	1.73967E-05	1.70951E-05	1.63423E-05	1.66841E-05	1.97619E-05	2.78811E-05
Q6BZU8	YALI0F30745g1_1	1.31672E-06	1.18238E-07	1.63624E-06	8.0683E-07	1.68983E-06	1.18719E-06	2.72792E-06	1.50319E-06	1.53463E-06	1.02767E-06	4.51047E-06
Q6CAV2	YALI0C24101g1_1	2.19442E-05	4.07869E-05	3.12067E-05	2.03476E-05	1.72936E-05	1.88135E-05	1.66334E-05	1.5901E-05	1.77083E-05	1.95999E-05	1.79274E-05
Q6C617	YALI0E13277g1_1	2.41218E-05	3.02082E-05	2.71279E-05	2.12997E-05	1.8318E-05	1.68233E-05	1.83033E-05	2.33108E-05	2.21758E-05	2.95586E-05	3.11469E-05
Q6C3E1	YALI0F00484g1_1	7.28393E-05	8.11459E-05	7.88993E-05	7.55665E-05	0.000101526	0.000108924	8.94542E-05	6.52153E-05	7.46894E-05	7.43555E-05	8.09624E-05
0	YALI0D25960g1_1	9.6703E-05	0.000115326	0.000102394	8.1316E-05	8.50881E-05	8.71905E-05	7.91766E-05	5.61558E-05	4.90466E-05	5.59957E-05	6.08874E-05
Q6CD79	YALI0C03025g1_1	1.81595E-06	2.27414E-06	2.6815E-06	3.70091E-06	1.72905E-06	1.21475E-06	1.60893E-06	6.66407E-07	1.34337E-06	5.41375E-07	7.638E-07
Q6CGR2	YALI0A17127g1_1	1.16973E-05	1.24E-05	1.25452E-05	8.23783E-06	1.05554E-05	1.05466E-05	1.11411E-05	1.06505E-05	1.13569E-05	1.02814E-05	1.51039E-05
Q6C6H5	YALI0E09493g1_1	2.74052E-06	2.79606E-06	3.85372E-06	2.65731E-06	2.86539E-06	2.83786E-06	2.96349E-06	3.43559E-06	2.22623E-06	4.70119E-06	5.36795E-06
Q6CAV8	YALI0C23969g1_1	5.18088E-06	4.93546E-06	5.39273E-06	4.01283E-06	4.68689E-06	2.79509E-06	5.06177E-06	5.18811E-06	3.64143E-06	5.11119E-06	5.94633E-06
Q6C1P6	YALI0F14509g1_1	2.31337E-05	2.5225E-05	1.94732E-05	1.3708E-05	1.17447E-05	1.06202E-05	1.17936E-05	7.75114E-06	1.05905E-05	1.16636E-05	1.49006E-05
Q6CBM2	YALI0C17347g1_1	5.09862E-05	5.70304E-05	3.26202E-05	5.00391E-05	5.01463E-05	4.59708E-05	4.66624E-05	3.76737E-05	3.5279E-05	3.45097E-05	4.62958E-05
Q6C793	YALI0E02684g1_1	3.45498E-05	5.19099E-05	3.49782E-05	3.05077E-05	4.01502E-05	4.23251E-05	5.60593E-05	3.0399E-05	4.13308E-05	3.0514E-05	3.09946E-05
Q6C7I2	YALI0E00638g1_1	3.52923E-05	3.21612E-05	3.573E-05	2.82186E-05	1.74677E-05	1.44571E-05	1.76782E-05	1.29514E-05	1.24215E-05	1.85049E-05	2.09805E-05
Q6CEQ0	YALI0B13970g1_1	3.87547E-05	5.53294E-05	6.62707E-05	4.93132E-05	4.1539E-05	3.37585E-05	2.63144E-05	4.12652E-05	4.26748E-05	4.9691E-05	4.56242E-05
Q6CFD2	YALI0B08184g1_1	4.93522E-05	6.97779E-05	5.75137E-05	6.12238E-05	3.78984E-05	4.59072E-05	3.99375E-05	5.1118E-05	4.0259E-05	5.55063E-05	5.95708E-05
Q6C6T5	YALI0E06457g1_1	1.07493E-05	1.43196E-05	1.32178E-05	1.40241E-05	7.90186E-06	8.79333E-06	8.69868E-06	8.9901E-06	8.45877E-06	1.06047E-05	1.42872E-05
Q6CCU7	YALI0C06369g1_1	8.88411E-05	0.000119657	0.000114538	7.84473E-05	7.83861E-05	8.31043E-05	6.29862E-05	0.00010908	0.000151235	0.000178286	0.000140971
Q6C8Q3	YALI0D17864g1_1	5.08815E-05	4.25339E-05	4.45341E-05	2.61634E-05	3.14961E-05	2.21277E-05	2.05416E-05	3.50385E-05	2.64552E-05	2.94629E-05	2.95874E-05
Q6CEH4	YALI0B15598g1_1	8.0639E-05	7.49226E-05	6.64038E-05	5.63316E-05	7.18161E-05	5.2187E-05	5.58123E-05	3.80886E-05	4.13964E-05	4.66939E-05	5.21176E-05
Q6C3H5	YALI0E34793g1_1	3.51147E-05	3.53387E-05	3.46119E-05	1.76296E-05	2.44006E-05	2.64422E-05	2.38428E-05	4.71491E-05	3.50128E-05	4.88656E-05	4.59464E-05
Q9UVF3	YALI0D08272g1_1	8.64209E-05	9.38556E-05	0.000108616	6.61775E-05	6.92474E-05	6.0195E-05	6.7393E-05	7.92847E-05	6.39308E-05	0.000110808	8.04883E-05
F2Z5Z3	YALI0A10659g1_1	7.00418E-05	0.000114455	7.09104E-05	5.60031E-05	6.16292E-05	5.14499E-05	5.39111E-05	3.92041E-05	6.00357E-05	7.13318E-05	7.46652E-05
F2Z694	YALI0D08228g1_1	3.8963E-05	7.03138E-05	6.97719E-05	3.92224E-05	3.41101E-05	3.51303E-05	2.90513E-05	4.44811E-05	5.29611E-05	5.6403E-05	6.18257E-05
