CLIB122_UNIPROT	CLIB122_NCBI	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D
Q6C5I6	YALI0E17765g1_1	7.27518E-06	1.45923E-05	6.70736E-06	4.76608E-06	3.86298E-06	4.0955E-06	5.42446E-06	8.30551E-06	4.52913E-06	5.42217E-06	1.37177E-05
Q6CE11	YALI0B19580g1_1	1.62788E-06	2.03862E-06	2.16274E-06	2.07138E-06	5.22286E-06	5.04252E-06	4.30466E-06	3.60965E-06	1.30439E-06	2.35653E-06	3.32471E-06
0	0	2.92994E-05	2.2909E-05	3.27582E-05	2.07908E-05	9.71339E-06	8.49183E-06	1.12474E-05	1.07521E-05	7.5467E-06	1.69658E-05	1.10877E-05
Q6CB54	YALI0C21824g1_1	2.01682E-05	3.4043E-05	1.85941E-05	1.78087E-05	1.44342E-05	1.81843E-05	2.02687E-05	3.53797E-05	3.09007E-05	1.16784E-05	1.14338E-05
Q6C540	YALI0E21219g1_1	6.6804E-05	8.36597E-05	4.78515E-05	3.40021E-05	4.15884E-05	2.40933E-05	3.86991E-05	3.05064E-05	2.66444E-05	5.83745E-05	5.45756E-05
Q6CB88	YALI0C21087g1_1	6.77242E-06	5.88551E-06	8.41585E-06	5.98009E-06	7.31433E-06	6.10623E-06	6.80617E-06	9.03734E-06	1.03764E-05	1.02666E-05	7.45739E-06
Q6C4W0	YALI0E23287g1_1	2.1181E-06	2.65253E-06	1.95278E-06	1.16773E-06	8.73796E-07	1.5347E-06	5.07659E-07	4.69666E-06	5.91123E-06	8.44861E-06	5.38306E-06
Q6CCI8	YALI0C08987g1_1	7.33988E-07	1.78535E-06	4.08888E-06	7.60642E-06	3.5537E-06	2.49666E-06	1.42886E-05	3.75641E-06	2.761E-06	1.32218E-06	3.6232E-06
Q6CCG2	YALI0C09636g1_1	1.37577E-05	1.27825E-05	9.41042E-06	1.21482E-05	9.0903E-06	7.7448E-06	5.28129E-06	9.80626E-06	1.18963E-05	5.91039E-06	8.33868E-06
Q6CBS8	YALI0C15873g1_1	5.93046E-06	1.07023E-05	1.06198E-05	1.01712E-05	1.6853E-05	1.18401E-05	8.58857E-06	9.75629E-06	1.14854E-05	1.29552E-05	1.82778E-05
Q6C3K6	YALI0E34045g1_1	1.22603E-05	1.97619E-05	1.13034E-05	5.57371E-06	9.82393E-06	8.20132E-06	9.14141E-06	5.79096E-06	6.29387E-06	5.26708E-06	1.28917E-05
Q6CB55	YALI0C21802g1_1	2.0795E-06	1.80717E-06	1.33043E-06	7.95577E-07	2.66876E-06	3.64174E-06	3.34722E-06	1.64743E-06	2.79475E-06	3.74594E-06	3.66748E-06
Q6C390	YALI0F01694g1_1	9.1373E-07	2.22255E-06	2.70794E-07	1.56712E-06	1.97523E-06	9.99081E-07	1.838E-06	1.04314E-06	2.27767E-06	1.64596E-06	1.86616E-06
Q6CHY1	YALI0A03597g1_1	4.24719E-06	7.16906E-06	3.9157E-06	1.6249E-06	3.03967E-06	2.6574E-06	2.19756E-06	4.08042E-06	3.56385E-06	5.30921E-06	9.08374E-06
Q6C0T2	YALI0F21967g1_1	1.02539E-06	5.56367E-07	9.45358E-07	9.05424E-07	9.13198E-07	7.78031E-07	1.0305E-06	1.79876E-06	1.02241E-06	1.55443E-06	1.45327E-06
Q6C829	YALI0D23265g1_1	0	0	0	0	2.12147E-08	0	0	1.14029E-07	0	2.97774E-08	0
Q6CDH6	YALI0C00451g1_1	5.70835E-06	7.14865E-06	5.26282E-06	5.04051E-06	2.35491E-06	2.05876E-06	2.19131E-06	1.62754E-06	1.05463E-06	3.30541E-06	3.6232E-06
Q6CAB0	YALI0D04378g1_1	1.29388E-05	1.62035E-05	8.85025E-06	1.82989E-05	1.03676E-05	8.65519E-06	7.95523E-06	1.0959E-05	6.64218E-06	7.49219E-06	1.36052E-05
Q6C5H6	YALI0E17985g1_1	3.65599E-06	2.35721E-06	5.39858E-06	3.22826E-06	3.48105E-06	3.75795E-06	2.72595E-06	4.17376E-06	4.15585E-06	4.11188E-06	3.84429E-06
Q6C5K4	YALI0E17325g1_1	2.82412E-06	5.09649E-06	8.09986E-06	2.49372E-06	6.10495E-06	7.127E-06	6.55062E-06	2.59092E-06	4.05784E-06	4.08821E-06	1.4405E-06
Q6C490	YALI0E28787g1_1	8.74907E-06	6.31561E-06	4.64953E-06	4.45313E-06	4.49136E-06	6.98705E-06	9.2543E-06	4.84511E-06	2.1787E-06	2.92023E-06	1.78508E-06
P45816	YALI0D04488g1_1	2.94732E-06	7.16906E-06	5.27784E-06	5.0549E-06	5.45071E-06	5.16152E-06	3.51971E-06	4.08042E-06	3.56385E-06	4.26656E-06	3.46975E-06
Q6C3E2	YALI0F00462g1_1	1.83554E-05	1.43519E-05	1.69228E-05	7.50783E-06	6.0852E-06	6.45148E-06	1.01538E-05	3.12023E-06	1.89115E-06	4.9234E-06	4.82028E-06
Q6C1Y6	YALI0F12331g1_1	1.35721E-05	1.69965E-05	8.6832E-06	1.61531E-05	9.71339E-06	8.49183E-06	9.03856E-06	8.64057E-06	7.5467E-06	1.3634E-05	7.69429E-06
Q6CB11	YALI0C22748g1_1	8.20158E-06	5.288E-06	7.56146E-06	7.24205E-06	9.12801E-06	9.5179E-06	7.26659E-06	4.82059E-06	2.62874E-06	1.5266E-06	1.10889E-06
Q6C482	YALI0E28963g1_1	7.16444E-06	2.88409E-06	8.50168E-06	4.69354E-06	6.82162E-06	8.3143E-06	5.34189E-06	6.06819E-06	6.19509E-06	5.33964E-06	4.34243E-06
Q6C2F2	YALI0F08415g1_1	2.50026E-06	4.51204E-06	5.76272E-06	4.28814E-06	3.20875E-06	3.79719E-06	3.62091E-06	4.11322E-06	3.5925E-06	3.61938E-06	3.96736E-06
Q6CF90	YALI0B09229g1_1	9.49526E-06	8.25176E-06	8.75417E-06	8.38438E-06	1.21859E-05	1.00071E-05	1.52838E-05	9.1224E-06	6.57007E-06	7.41085E-06	3.36095E-06
Q6C752	YALI0E03718g1_1	7.75471E-06	4.49849E-06	5.74541E-06	4.27527E-06	4.61003E-06	3.78578E-06	5.01425E-06	2.28691E-06	1.9974E-06	3.60852E-06	3.95545E-06
Q6CD80	YALI0C03003g1_1	9.97914E-06	1.2497E-05	6.3845E-06	8.81164E-06	1.07776E-05	8.99751E-06	1.39298E-05	1.33165E-05	5.54886E-06	7.78851E-06	3.53223E-06
Q6C5X5	YALI0E14322g1_1	2.27688E-06	9.16573E-07	6.74779E-07	2.0105E-06	9.393E-07	1.28175E-06	8.74043E-07	8.35557E-07	7.29778E-07	1.31843E-06	5.97929E-07
Q6CI24	YALI0A02354g1_1	4.21908E-06	5.28361E-06	3.88978E-06	2.58528E-06	5.41462E-06	5.12735E-06	5.88939E-06	4.81659E-06	4.20683E-06	5.27406E-06	4.64579E-06
Q6CGN0	YALI0A17941g1_1	3.96204E-06	8.21156E-07	4.70155E-06	1.8012E-06	5.08475E-06	4.07254E-06	4.10323E-06	2.82407E-06	3.95054E-06	1.70211E-06	4.1661E-06
Q6BZQ3	YALI0F31735g1_1	2.16103E-06	2.7063E-06	1.47817E-06	2.45606E-06	1.73159E-06	1.00316E-06	1.61129E-06	1.54034E-06	6.92647E-07	1.25134E-06	4.07473E-06
Q6CD37	YALI0C04092g1_1	1.00212E-05	1.25498E-05	1.79453E-05	1.27515E-05	1.28609E-05	9.03547E-06	1.19674E-05	9.19374E-06	8.02984E-06	1.12709E-05	2.04669E-05
Q6C609	YALI0E13486g1_1	7.54314E-06	5.4451E-06	6.95441E-06	3.83933E-06	5.58011E-06	3.92032E-06	3.60327E-06	8.61142E-06	6.66182E-06	4.36785E-06	4.78778E-06
Q6CE62	YALI0B18282g1_1	5.29518E-06	4.91981E-06	7.81907E-06	4.67568E-06	4.24292E-06	3.54212E-06	2.6163E-06	1.44168E-06	1.69719E-06	4.91091E-06	4.3259E-06
Q6CCD1	YALI0C10494g1_1	2.93754E-06	1.18253E-06	5.26032E-06	3.73785E-06	3.76995E-06	4.4613E-06	3.50803E-06	2.69497E-06	2.3538E-06	1.70098E-06	3.45824E-06
Q6C0Z2	YALI0F20592g1_1	0	4.06792E-07	2.99479E-07	0	1.29687E-06	9.11119E-07	7.53457E-07	7.20281E-07	6.29096E-07	1.88094E-07	2.65372E-07
Q6C897	YALI0D21530g1_1	2.64187E-06	2.06566E-06	4.73085E-06	4.53102E-06	6.58541E-06	4.01225E-06	4.54637E-06	3.01602E-06	3.79597E-06	2.9713E-06	1.34754E-06
Q6C243	YALI0F11033g1_1	6.6252E-06	1.32886E-05	7.86179E-06	4.34027E-06	2.02776E-06	1.42461E-06	4.07341E-06	4.72232E-06	3.40108E-06	6.14442E-06	5.41247E-06
Q6BZW0	YALI0F30481g1_1	1.07675E-05	6.2462E-06	6.19806E-06	4.40419E-06	2.7734E-06	2.50787E-06	4.1334E-06	4.79186E-06	4.97324E-06	6.2349E-06	1.06676E-05
Q6C5X8	YALI0E14212g1_1	4.53486E-05	1.82554E-05	4.18092E-05	4.00431E-05	2.99636E-05	2.55286E-05	2.78819E-05	2.14197E-05	2.32799E-05	1.9482E-05	4.76842E-05
Q6C338	YALI0F02893g1_1	4.29953E-06	8.62386E-06	2.04084E-06	8.76246E-06	7.1021E-06	7.52958E-06	1.18506E-05	1.13288E-05	9.89463E-06	5.74615E-06	5.6258E-06
Q6C2X0	YALI0F04422g1_1	6.05973E-06	5.44151E-07	3.87692E-06	7.21213E-06	6.54462E-06	8.39549E-06	8.45875E-06	5.82178E-06	5.08476E-06	4.72949E-06	8.58836E-06
Q6C6W3	YALI0E05753g1_1	3.30609E-06	4.14026E-06	1.56928E-06	1.1689E-05	8.24111E-06	3.8367E-06	7.66856E-06	8.71119E-06	7.60838E-06	9.53855E-06	1.08146E-05
Q6C909	YALI0D15268g1_1	2.05293E-06	2.57092E-06	1.8927E-06	1.81275E-06	2.2172E-06	2.84425E-06	2.45162E-06	2.34367E-06	2.39268E-06	8.24927E-07	1.67715E-06
Q6CA86	YALI0D04983g1_1	1.36027E-05	8.77041E-06	1.25411E-05	8.91136E-06	5.61165E-06	6.31445E-06	2.68843E-06	9.69577E-06	5.61166E-06	1.01381E-05	8.24473E-06
Q6C1I6	YALI0F15939g1_1	1.9682E-06	2.46481E-06	3.91733E-06	3.01505E-06	1.40862E-06	1.7746E-06	1.63108E-06	1.55926E-06	1.36186E-06	1.97718E-06	2.7895E-06
Q6C6W8	YALI0E05643g1_1	6.96399E-06	8.72112E-06	9.2521E-06	6.14925E-06	5.58011E-06	1.05763E-05	6.68321E-06	7.95025E-06	1.00062E-05	1.00811E-05	8.19839E-06
Q6CFN6	YALI0B05368g1_1	4.47317E-06	2.88409E-06	3.05969E-06	5.08387E-06	3.58427E-06	2.99226E-06	5.34189E-06	2.62917E-06	2.78475E-06	5.03097E-06	5.853E-06
Q6CEJ7	YALI0B15125g1_1	3.32522E-05	4.16422E-05	2.38185E-05	2.28123E-05	1.06579E-05	1.45435E-05	9.9174E-06	9.48072E-06	1.32624E-05	1.49596E-05	2.11058E-05
Q6C5L8	YALI0E16929g1_1	4.96946E-06	8.38821E-06	7.94837E-06	3.04508E-06	6.37765E-06	3.10931E-06	4.99423E-06	3.93693E-06	4.95504E-06	2.87756E-06	1.759E-06
Q6CBN5	YALI0C16973g1_1	8.1006E-06	1.30571E-05	2.4007E-06	2.29929E-06	6.49085E-06	5.41877E-06	7.17712E-06	6.8611E-06	8.07709E-06	3.48006E-06	4.90984E-06
Q6CDC5	YALI0C01716g1_1	9.12831E-06	8.48121E-06	8.41585E-06	1.03745E-05	6.03144E-06	7.13751E-06	5.61241E-06	4.31162E-06	6.75276E-06	3.92156E-06	3.83943E-06
Q6C3V2	YALI0E31911g1_1	1.62249E-05	3.52499E-05	2.59509E-05	9.94198E-06	6.69341E-06	1.46289E-05	1.63058E-05	1.85228E-05	1.89101E-05	2.0282E-05	2.29954E-05
Q6C361	YALI0F02343g1_1	1.42403E-05	1.32308E-05	1.31288E-05	1.25743E-05	9.40912E-06	5.31221E-06	5.46651E-06	6.72618E-06	5.87466E-06	8.24581E-06	1.16336E-05
Q6CBW8	YALI0C14806g1_1	3.66526E-06	7.59646E-07	4.34938E-06	4.16565E-06	1.51206E-06	4.25352E-06	3.24742E-06	1.34506E-06	2.71142E-06	1.0927E-06	2.22154E-06
Q6C2X4	YALI0F04334g1_1	4.47317E-06	1.80071E-06	5.30809E-06	1.26968E-06	4.97845E-06	7.83367E-06	4.63258E-06	3.18839E-06	7.14364E-06	2.59019E-06	1.1747E-06
Q6CD21	YALI0C04433g1_1	1.17225E-06	2.85137E-06	6.53033E-06	2.0105E-06	4.68013E-06	5.53839E-06	4.35498E-06	4.16322E-06	6.1248E-06	5.27906E-06	5.7866E-06
Q6C5D5	YALI0E18964g1_1	4.11402E-06	2.65253E-06	1.17994E-05	8.38438E-06	1.0255E-05	7.2047E-06	9.54258E-06	1.084E-05	9.4677E-06	9.53855E-06	7.75717E-06
P78979	YALI0E21912g1_1	6.14846E-06	7.69981E-06	5.66858E-06	6.98786E-06	3.26471E-06	2.29363E-06	2.36025E-06	2.90413E-06	2.53648E-06	3.56026E-06	5.02299E-06
Q6CGV1	YALI0A15972g1_1	5.44995E-06	9.83514E-06	9.75935E-06	4.81234E-06	1.0079E-05	9.54426E-06	9.37877E-06	4.99992E-06	9.1533E-06	3.15579E-06	6.41598E-06
Q6C6M6	YALI0E08162g1_1	3.9917E-06	4.99887E-06	2.55383E-06	7.86251E-07	1.64673E-06	8.02836E-07	1.06335E-06	3.83496E-06	4.65232E-06	4.0099E-06	4.39543E-06
Q6C083	YALI0F27005g1_1	0	0	0	0	1.1808E-07	0	0	1.01653E-06	8.8784E-07	5.15599E-07	2.33834E-07
Q6C1R7	YALI0F14047g1_1	2.84562E-06	3.56361E-06	4.20195E-06	4.02445E-06	8.42884E-06	4.9834E-06	6.60048E-06	7.4979E-06	8.82674E-06	8.21003E-06	1.15831E-05
Q6C1K7	YALI0F15389g1_1	8.3046E-06	1.72118E-06	7.65644E-06	7.33302E-06	3.42597E-06	3.85503E-06	5.10596E-06	4.88114E-06	5.16999E-06	3.5677E-06	5.03349E-06
Q6CDE1	YALI0C01243g1_1	4.0777E-07	5.10657E-07	1.93554E-07	3.60064E-07	3.88258E-07	4.73216E-07	3.61284E-07	4.6552E-07	2.09331E-07	5.44968E-07	7.68869E-07
Q6C828	YALI0D23287g1_1	2.51255E-07	5.2074E-08	5.34642E-07	1.14224E-07	1.66014E-07	2.26539E-07	3.0005E-07	3.69191E-07	4.14615E-08	1.45489E-07	1.05679E-07
Q6C0K3	YALI0F23947g1_1	0	0	0	0	2.17382E-07	0	2.02279E-07	1.16843E-06	5.25408E-07	3.05123E-07	0
Q6C6R1	YALI0E07073g1_1	6.92498E-06	1.2497E-05	3.98621E-06	6.11481E-06	5.54886E-06	3.89836E-06	6.64578E-06	6.35315E-06	5.54886E-06	1.24744E-05	1.41433E-05
Q6C5V6	YALI0E14795g1_1	3.87921E-06	4.858E-06	5.15377E-06	1.0656E-05	4.00076E-06	2.81074E-06	2.89238E-06	3.55888E-06	4.69067E-06	5.61556E-06	6.15545E-06
Q6CDK7	YALI0B23188g1_1	2.34991E-06	1.83738E-06	1.35267E-06	2.07499E-06	5.07984E-06	3.56885E-06	4.04394E-06	2.68271E-06	2.84147E-06	5.13342E-06	2.76644E-06
Q6C3B0	YALI0F01166g1_1	1.98529E-06	3.1968E-07	1.05504E-06	1.36199E-06	1.01915E-06	1.20605E-06	1.3666E-06	1.30643E-06	1.33375E-06	1.47814E-07	6.48761E-07
Q6CCJ4	YALI0C08877g1_1	1.48435E-06	1.85888E-06	3.15853E-06	1.31069E-06	4.39672E-06	4.16345E-06	3.443E-06	6.00985E-06	2.87471E-06	2.67386E-06	2.79881E-06
Q6C7P9	YALI0D26367g1_1	3.24409E-06	7.89092E-06	4.30998E-06	8.91136E-06	3.34574E-06	1.35491E-06	3.1133E-06	4.49128E-06	4.66128E-06	2.70696E-06	5.14766E-06
Q6C658	YALI0E12221g1_1	1.91122E-06	7.69372E-07	2.53917E-06	2.43191E-06	1.13618E-06	2.08974E-06	2.76785E-06	2.18189E-06	1.53142E-06	3.4428E-06	3.90338E-06
Q6CF67	YALI0B09845g1_1	2.28554E-06	1.47361E-06	2.10715E-06	6.27826E-06	4.69792E-06	4.75618E-06	4.37153E-06	6.02215E-06	4.42635E-06	3.05453E-06	7.47628E-06
Q6C3Q2	YALI0E33033g1_1	9.04809E-06	7.86315E-06	1.12437E-05	1.07688E-05	3.73268E-06	4.54946E-06	7.49829E-06	7.16812E-06	6.26066E-06	9.08934E-06	5.12955E-06
Q6C4C8	YALI0E27830g1_1	2.07007E-05	1.1232E-05	1.9085E-05	2.46374E-05	5.92618E-06	1.04085E-05	1.7155E-05	1.02392E-05	2.06406E-05	2.07951E-05	3.65085E-05
Q6C6V2	YALI0E05995g1_1	0	0	0	0	0	9.31763E-08	0	1.86121E-05	1.62558E-05	1.92546E-05	1.97676E-05
Q6CDL1	YALI0B23100g1_1	6.02234E-06	1.08681E-05	1.78479E-06	1.70939E-06	1.11376E-05	9.14623E-06	5.77952E-06	6.87524E-06	7.28209E-06	1.82732E-05	9.55612E-06
Q6C4I0	YALI0E26609g1_1	3.37407E-06	8.20707E-06	4.48266E-06	2.97933E-06	1.39193E-06	2.44473E-06	2.51575E-06	3.09545E-06	2.70358E-06	2.81542E-06	6.89104E-06
Q6CFT8	YALI0B03960g1_1	7.33292E-07	1.51979E-07	3.48068E-07	2.01432E-06	2.17204E-06	1.28418E-06	1.40256E-06	1.34081E-06	1.97255E-06	1.70017E-06	4.30131E-06
F2Z640	YALI0D26315g1_1	4.42261E-07	3.45801E-07	7.91966E-07	9.76286E-07	5.67583E-07	1.1161E-06	7.61082E-07	7.27571E-07	1.41752E-07	7.96673E-07	5.20654E-07
Q6C177	YALI0F18590g1_1	1.88706E-06	7.59646E-07	1.73977E-06	7.46981E-06	7.53395E-06	1.02807E-05	1.18086E-05	1.12886E-05	1.29612E-05	6.60248E-06	4.79587E-06
Q6C763	YALI0E03432g1_1	4.24014E-06	3.31533E-06	3.9092E-06	5.39533E-06	3.39754E-06	5.50913E-06	7.29681E-06	3.89001E-06	8.21178E-06	3.53809E-06	4.99172E-06
Q6C207	YALI0F11847g1_1	4.9434E-07	1.20243E-06	2.75385E-06	1.95682E-06	1.58603E-06	1.38657E-06	1.8365E-06	1.75564E-06	2.97831E-06	3.99198E-06	1.25634E-06
Q6CD12	YALI0C04620g1_1	1.05959E-06	1.32694E-06	1.89743E-06	1.81728E-06	1.09279E-06	7.67739E-07	5.86142E-07	1.46694E-06	1.05651E-06	1.19171E-06	2.6929E-06
Q6C9G4	YALI0D11418g1_1	6.97707E-06	1.44604E-06	2.06773E-06	3.17188E-06	3.70469E-06	4.6672E-06	4.28975E-06	3.29552E-06	3.58171E-06	5.19999E-06	7.33641E-06
Q6CEE2	YALI0B16368g1_1	0	0	0	0	9.53716E-07	3.44967E-07	8.87457E-07	0	3.81492E-07	0	0
Q6BZT1	YALI0F31119g1_1	2.56165E-06	5.30916E-07	1.21593E-06	1.16456E-06	1.69258E-06	1.44206E-06	9.83358E-07	1.20996E-06	1.89501E-06	1.1005E-06	1.55264E-06
Q6CAJ1	YALI0D02321g1_1	2.99703E-06	2.34336E-06	3.98174E-06	5.14015E-06	5.54264E-06	5.24857E-06	4.34035E-06	4.14923E-06	5.03358E-06	2.50081E-06	2.52996E-07
Q6C634	YALI0E12859g1_1	1.39375E-06	4.02846E-06	2.96574E-06	1.97113E-06	3.47421E-06	3.90931E-06	2.14229E-06	3.09049E-06	1.03104E-06	1.86269E-06	1.82367E-06
Q6CCS2	YALI0C06996g1_1	1.0847E-05	1.35839E-05	1.00004E-05	7.10605E-06	1.0328E-05	9.78002E-06	6.66913E-06	7.73155E-06	6.75276E-06	3.23374E-06	8.86149E-06
Q6CA32	YALI0D06325g1_1	2.90851E-06	5.24878E-06	2.6815E-06	3.70091E-06	5.37892E-06	2.6224E-06	4.21214E-06	2.66834E-06	4.17909E-06	1.68417E-06	2.37611E-06
Q6C4Z7	YALI0E22374g1_1	1.5552E-06	6.26056E-07	4.60901E-07	1.37325E-06	1.24615E-06	1.40222E-06	1.15958E-06	1.10852E-06	1.55069E-06	3.39736E-06	3.95248E-06
0	0	5.46053E-06	4.74542E-06	6.78561E-06	3.34599E-06	3.0363E-06	4.14327E-06	2.09617E-06	4.32597E-06	3.03631E-06	4.26183E-06	7.73912E-06
0	0	1.63481E-05	1.42072E-05	1.04593E-05	2.50433E-05	4.68013E-06	6.3864E-06	4.35498E-06	8.0863E-06	1.90537E-05	1.64227E-05	1.33556E-05
Q6C2S6	YALI0F05522g1_1	1.83554E-05	4.46475E-05	3.28694E-05	2.33561E-05	1.47078E-05	1.65498E-05	2.19201E-05	2.5412E-05	1.1427E-05	4.00976E-05	9.36252E-06
Q6C340	YALI0F02849g1_1	2.52046E-06	5.05544E-06	2.32374E-06	5.13669E-06	7.4657E-06	5.24504E-06	5.84627E-06	4.60859E-06	3.23468E-06	4.54026E-06	8.24473E-06
Q6C5P6	YALI0E16324g1_1	1.20125E-06	1.0787E-07	1.10749E-06	1.4297E-06	6.6795E-07	9.1147E-07	1.43454E-06	1.15408E-06	1.19776E-06	1.20673E-06	9.81363E-07
Q6CHP2	YALI0A06765g1_1	1.16973E-05	1.01654E-05	1.07843E-05	1.03288E-05	1.04175E-05	7.31881E-06	7.79001E-06	4.29261E-06	1.16633E-05	1.17506E-05	9.55612E-06
Q6C3E0	YALI0F00506g1_1	4.61768E-06	5.78279E-06	6.13488E-06	2.54578E-06	2.74513E-06	5.04902E-06	4.4315E-06	4.23637E-06	6.63491E-06	5.19349E-06	5.43619E-06
Q6CGE0	YALI0A20108g1_1	4.08857E-06	2.95138E-06	1.5078E-06	2.08101E-06	3.02456E-06	1.78822E-06	2.36848E-06	2.26419E-06	1.31046E-06	5.91269E-07	1.33608E-06
Q6CCT1	YALI0C06798g1_1	1.69005E-06	2.11648E-06	2.24534E-06	2.15049E-06	2.6303E-06	3.37417E-06	1.62191E-06	3.74751E-06	1.35421E-06	6.1101E-07	2.68174E-06
Q6C9Z7	YALI0D07084g1_1	1.02654E-05	5.5699E-06	2.11116E-06	9.06439E-06	1.10868E-05	1.6057E-05	1.2259E-05	5.07758E-06	3.29022E-06	2.57543E-06	5.81965E-06
Q6C098	YALI0F26587g1_1	2.76118E-06	3.45786E-06	6.36409E-06	6.09527E-06	3.5436E-06	3.0191E-06	2.64985E-06	2.53317E-06	2.75316E-06	3.10549E-06	2.25575E-06
Q6CFC9	YALI0B08250g1_1	1.5517E-06	2.80025E-06	2.06154E-06	1.37016E-06	1.60032E-06	1.69665E-06	1.85305E-06	2.14825E-06	1.24335E-06	1.7452E-06	1.26767E-06
Q6CAD6	YALI0D03718g1_1	1.07757E-06	1.34946E-06	1.72352E-06	9.51505E-07	7.71209E-07	8.17629E-07	8.93002E-07	1.03526E-06	4.65526E-07	1.34702E-06	1.52723E-06
Q6C1G7	YALI0F16401g1_1	7.84724E-07	1.90876E-06	7.00162E-06	3.10629E-06	1.95609E-06	2.66924E-06	3.53539E-06	4.01606E-06	4.10005E-06	2.74561E-06	3.87365E-06
Q6C657	YALI0E12243g1_1	2.75985E-07	0	4.94212E-07	7.58116E-07	6.87949E-07	7.74107E-07	4.7494E-07	2.17036E-06	1.44197E-06	9.65622E-07	2.182E-06
Q6CAY2	YALI0C23408g1_1	3.30924E-06	2.87586E-06	2.1172E-06	2.92208E-06	3.57403E-06	1.29276E-06	2.20384E-06	1.63685E-06	2.28977E-06	2.58279E-06	1.17134E-06
Q6C6R2	YALI0E07051g1_1	2.09903E-06	1.35336E-06	3.09952E-06	4.27784E-06	8.65932E-07	1.89256E-06	1.29056E-06	2.39631E-06	2.69384E-06	1.94671E-06	1.71481E-06
Q6CAQ4	YALI0D00825g1_1	1.69139E-06	3.5055E-07	3.59908E-06	7.6893E-07	2.17067E-06	4.11421E-06	2.01986E-06	6.20696E-07	1.25122E-06	5.0424E-07	7.11408E-07
Q6C4S0	YALI0E24211g1_1	2.6255E-06	3.28796E-06	2.42059E-06	1.6088E-06	1.08312E-06	7.60948E-07	1.00787E-06	2.07999E-06	1.13425E-06	1.5203E-06	2.14491E-06
Q6C6K9	YALI0E08617g1_1	6.87352E-06	4.43172E-06	2.03704E-06	3.12481E-06	6.54462E-06	4.59793E-06	4.22608E-06	3.2466E-06	3.52855E-06	2.9529E-06	2.89105E-06
Q6CAA3	YALI0D04554g1_1	1.04281E-06	4.06263E-06	4.30998E-06	4.12792E-06	7.01281E-06	4.92686E-06	6.5256E-06	3.70353E-06	2.0196E-06	1.87849E-06	2.65027E-06
Q6CDU7	YALI0B21076g1_1	5.20927E-05	1.62926E-05	6.17538E-06	1.83995E-05	2.14902E-05	1.87876E-05	1.55366E-05	1.91167E-05	2.51961E-05	1.73873E-05	1.06285E-05
Q6C5K0	YALI0E17413g1_1	1.74175E-06	9.45059E-07	1.11435E-06	1.06727E-06	1.55118E-06	1.83565E-06	1.44341E-06	2.32425E-06	9.68494E-07	2.24978E-07	1.42293E-06
Q6C6U9	YALI0E06061g1_1	1.01756E-06	7.95621E-07	1.35189E-06	5.60992E-07	8.15349E-07	2.94918E-07	7.58703E-07	1.674E-06	1.23041E-06	1.47302E-06	2.58608E-06
Q6CE98	YALI0B17380g1_1	2.85802E-06	3.57914E-06	6.08154E-06	2.52365E-06	5.87466E-06	5.9475E-06	5.46651E-06	6.33735E-06	4.56424E-06	3.81962E-06	9.34894E-06
Q6C3M2	YALI0E33649g1_1	3.41098E-06	8.29684E-06	4.5317E-06	3.01192E-06	4.37754E-06	3.7296E-06	4.07341E-06	3.12932E-06	5.72881E-06	2.84622E-06	1.73984E-06
Q6C4N2	YALI0E25069g1_1	6.8309E-07	0	6.29776E-07	4.1857E-07	7.37749E-07	4.27399E-07	4.54916E-07	9.11537E-07	4.72652E-07	6.86204E-07	2.41787E-07
Q6CHP1	YALI0A06787g1_1	3.61928E-06	2.82989E-06	6.48113E-06	1.99535E-06	3.73268E-06	2.03744E-06	4.32217E-06	3.32042E-06	2.90006E-06	5.23928E-06	2.95678E-06
Q6CHJ9	YALI0A08077g1_1	3.59214E-06	4.49849E-06	5.30429E-06	5.08023E-06	7.38364E-06	8.73769E-06	8.33206E-06	9.4649E-06	8.26668E-06	6.47075E-06	2.9346E-06
Q6CFH1	YALI0B07007g1_1	7.8409E-06	5.05544E-06	1.19637E-06	6.92357E-06	1.6117E-05	1.63168E-05	1.81872E-05	1.43369E-05	1.51853E-05	1.81795E-05	6.40564E-06
Q6C0J5	YALI0F24123g1_1	2.1543E-05	3.88771E-05	1.24007E-05	3.69479E-05	1.28069E-05	6.24379E-06	1.19171E-05	1.53554E-05	1.34115E-05	1.79761E-05	2.53616E-05
Q6CE13	YALI0B19492g1_1	5.53395E-06	2.77214E-06	5.10204E-06	3.79652E-06	9.13198E-07	1.24613E-06	1.65049E-06	8.12338E-07	2.28068E-07	1.8471E-06	1.1291E-06
Q6C9G8	YALI0D11330g1_1	4.09174E-06	5.12415E-06	6.04202E-06	3.61303E-06	1.01995E-05	9.95294E-06	1.12779E-05	1.26022E-05	1.26921E-05	2.36932E-06	3.34275E-06
Q6CGB1	YALI0A20746g1_1	2.17868E-05	2.72839E-05	1.25411E-05	2.77224E-05	2.24694E-05	4.91085E-05	2.60179E-05	1.15213E-05	2.63441E-05	1.81795E-05	5.7214E-06
