Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
W0THY0	KLMA_80367	1.27966E-05	1.75152E-05	1.86461E-05	5.1964E-05	5.94191E-05	7.03972E-05	2.27344E-05	2.27871E-05	2.2567E-05	4.00703E-05	4.69182E-05	3.32889E-05
W0TEK8	KLMA_50592	2.59542E-05	2.54079E-05	2.93833E-05	2.87141E-05	2.77352E-05	3.64362E-05	2.65598E-05	2.61498E-05	2.62518E-05	3.52961E-05	3.1261E-05	2.7468E-05
W0T5M8	KLMA_20459	2.21866E-05	1.7359E-05	2.6432E-05	1.68349E-05	9.8565E-06	1.36227E-05	2.18805E-05	2.03836E-05	2.18197E-05	3.1375E-05	3.20653E-05	2.56219E-05
W0TAL8	KLMA_20691	5.44688E-06	4.29834E-06	6.19419E-06	1.14007E-05	8.95892E-06	9.65462E-06	5.28531E-06	4.42385E-06	6.09562E-06	4.15105E-06	5.89227E-06	5.07062E-06
W0TG45	KLMA_80306	2.1466E-05	6.60139E-05	8.45889E-05	0.00015664	0.000147826	0.000171059	9.76356E-05	0.000120829	0.000122201	6.72168E-05	0.000109946	0.000116835
W0TBC6	KLMA_40102	4.26217E-05	5.12867E-05	4.44187E-05	9.85516E-05	7.48382E-05	9.89295E-05	4.75937E-05	5.97661E-05	6.54708E-05	4.35964E-05	5.63921E-05	5.10394E-05
W0T723	KLMA_20158	8.41343E-06	1.68061E-05	1.92864E-05	3.51077E-05	3.63224E-05	4.8413E-05	1.11366E-05	2.42273E-05	2.30978E-05	1.18978E-05	2.44852E-05	2.3977E-05
W0THG5	KLMA_60268	1.16479E-05	1.41454E-05	2.55904E-05	2.32654E-05	1.28079E-05	2.11775E-05	2.06936E-05	1.92126E-05	2.98369E-05	2.59325E-05	1.56311E-05	2.99764E-05
W0TDP8	KLMA_40220	1.71134E-05	8.98963E-06	5.45441E-06	1.09546E-05	1.27051E-05	1.09966E-05	1.90908E-06	5.27318E-06	6.60137E-06	3.98862E-06	6.38114E-06	4.87221E-06
W0TCX8	KLMA_50012	0.000039661	0.000112828	0.000134184	0.000201716	0.000223954	0.000262993	0.000149742	0.000139201	0.000110364	0.000121025	0.00013999	0.000134865
W0T8F8	KLMA_10742	3.04229E-07	2.97825E-07	5.04434E-07	1.94936E-06	1.31341E-06	8.57941E-07	5.40491E-07	3.06521E-07	4.76024E-07	4.95097E-07	8.85382E-07	3.51335E-07
W0TDD2	KLMA_50419	8.19873E-06	1.38159E-05	2.0249E-05	2.76558E-05	4.44775E-05	7.54059E-05	3.76169E-05	3.6722E-05	1.86289E-05	3.82408E-05	4.10723E-05	3.13601E-05
W0TDG7	KLMA_60401	1.1697E-05	1.48027E-05	2.27346E-05	2.42107E-05	2.46564E-05	2.76555E-05	3.35235E-05	1.45182E-05	1.93316E-05	2.69861E-05	2.34158E-05	1.78787E-05
W0TKF9	KLMA_80348	4.61443E-05	4.9539E-05	6.13971E-05	4.78341E-05	4.43199E-05	5.37792E-05	0.000102303	6.16616E-05	8.27604E-05	7.50944E-05	5.39888E-05	6.78812E-05
W0TJE4	KLMA_70426	1.51689E-05	2.51824E-05	4.18544E-05	2.72507E-05	2.79679E-05	5.81638E-05	4.14892E-05	3.57707E-05	4.21553E-05	4.38443E-05	4.88329E-05	4.58304E-05
W0TG93	KLMA_80059	0.000118855	9.13411E-05	0.000113085	0.000125089	9.72931E-05	0.000125569	0.000152213	7.68111E-05	0.000100631	0.000104663	0.000124755	0.000122166
W0T9E0	KLMA_40218	3.52795E-05	3.01306E-05	3.51763E-05	7.84048E-05	6.38881E-05	7.0919E-05	4.83389E-05	2.95515E-05	3.62224E-05	4.77319E-05	2.65321E-05	2.9042E-05
W0TGV8	KLMA_80309	8.68452E-05	8.04899E-05	0.000109604	7.96955E-05	8.77404E-05	0.000120504	0.000114954	9.71066E-05	0.000132249	0.0001301	0.000127837	0.000103004
W0TD39	KLMA_50304	4.16225E-06	5.03879E-06	7.79229E-06	1.02541E-05	7.29083E-06	9.46189E-06	9.55216E-06	8.48003E-06	1.83286E-05	9.90726E-06	8.93415E-06	5.23811E-06
W0TAW0	KLMA_40526	5.6439E-06	5.89113E-06	1.1704E-05	5.40707E-06	8.66517E-06	9.57106E-06	7.14744E-06	8.43845E-06	1.08359E-05	1.19268E-05	9.29344E-06	8.22931E-06
W0T3H5	KLMA_10540	6.29928E-05	6.46653E-05	8.50662E-05	0.000164351	0.000130932	0.000164981	8.99033E-05	7.61417E-05	8.92414E-05	0.000115142	0.000118015	0.000123504
W0T7K6	KLMA_30312	2.17461E-05	1.87082E-05	3.16865E-05	3.13564E-05	2.35566E-05	3.38733E-05	3.9598E-05	1.92544E-05	3.36045E-05	3.36483E-05	3.37114E-05	3.06236E-05
W0T2Z0	KLMA_10153	1.96943E-06	1.34485E-06	9.54275E-07	1.26067E-06	1.442E-07	2.14842E-07	1.14294E-06	1.11575E-06	1.35106E-06	1.04695E-06	1.30598E-06	7.42943E-07
W0TEH6	KLMA_60469	5.57084E-06	4.80871E-06	7.61835E-06	3.38785E-06	5.26064E-06	9.61005E-06	5.24783E-06	5.89864E-06	5.25934E-06	9.24951E-06	1.01902E-05	5.61095E-06
W0T8F1	KLMA_30602	1.1639E-05	2.19238E-05	3.8137E-05	2.51526E-05	1.8585E-05	2.52491E-05	1.98499E-05	1.90351E-05	2.44431E-05	2.29073E-05	2.60567E-05	2.08482E-05
W0TC09	KLMA_50533	4.67744E-06	5.62836E-06	7.75555E-06	3.68029E-06	4.26838E-06	6.35941E-06	5.22309E-06	6.55892E-06	7.58911E-06	5.50585E-06	7.33593E-06	6.21621E-06
W0TFY6	KLMA_60435	6.50884E-05	4.0831E-05	6.56475E-05	6.32532E-05	6.52778E-05	8.36287E-05	7.41E-05	4.53003E-05	5.08858E-05	6.2736E-05	9.4645E-05	8.33688E-05
W0T6K4	KLMA_20582	2.21645E-05	2.31969E-05	2.29242E-05	2.36735E-05	2.38202E-05	3.43508E-05	2.88067E-05	2.43972E-05	3.54725E-05	3.68937E-05	3.31434E-05	2.44427E-05
W0TEK0	KLMA_70219	4.69159E-06	4.59283E-06	9.26997E-06	5.13052E-06	5.82976E-06	8.98592E-06	5.9493E-06	7.47087E-06	9.27284E-06	7.73628E-06	1.15523E-05	8.30861E-06
W0T9E2	KLMA_20256	1.59077E-05	1.35964E-05	2.238E-05	1.94235E-05	2.55482E-05	4.02822E-05	3.01237E-05	1.90483E-05	2.85508E-05	1.71271E-05	1.83953E-05	1.40454E-05
W0TG03	KLMA_70140	3.84462E-05	2.70732E-05	4.44662E-05	4.34958E-05	2.67917E-05	3.99166E-05	6.00248E-05	2.49544E-05	4.0667E-05	4.63844E-05	4.90554E-05	4.55069E-05
