Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
W0TBI1	KLMA_30149	2.75033E-05	2.47849E-05	3.67605E-05	3.38753E-05	1.5654E-05	2.33226E-05	4.12206E-05	1.88442E-05	3.6304E-05	2.37326E-05	3.50928E-05	2.67946E-05
W0TEG4	KLMA_40470	2.10145E-05	1.69123E-05	3.48436E-05	3.42958E-05	1.48377E-05	1.67513E-05	2.91102E-05	2.84177E-05	3.44109E-05	2.05125E-05	2.68134E-05	1.74189E-05
W0T9W3	KLMA_40388	7.17046E-05	7.94047E-05	6.66078E-05	5.75793E-05	5.49985E-05	8.94142E-05	7.00644E-05	5.38266E-05	5.17353E-05	7.52327E-05	0.000100239	8.60129E-05
W0TF55	KLMA_60412	3.47132E-05	5.89967E-05	2.34984E-05	2.634E-05	4.21241E-05	3.39109E-05	0.000108206	8.63088E-05	8.93404E-05	2.55124E-05	2.54751E-05	2.82775E-05
W0THR5	KLMA_80302	1.72389E-05	1.85749E-05	2.4025E-05	2.55849E-05	2.07346E-05	3.22511E-05	2.9624E-05	1.76558E-05	2.35094E-05	2.44513E-05	3.76257E-05	3.45922E-05
W0TFU0	KLMA_50315	2.39817E-05	3.82424E-05	5.59263E-05	8.40728E-05	6.88219E-05	7.752E-05	4.06015E-05	5.3291E-05	5.58521E-05	8.60763E-05	6.97928E-05	8.07944E-05
W0TDY2	KLMA_60541	9.23427E-06	6.30574E-06	1.02525E-05	1.45869E-05	1.12233E-05	1.20379E-05	1.03115E-05	9.15414E-06	1.28516E-05	1.70154E-05	1.79952E-05	1.374E-05
W0TDM8	KLMA_60461	4.63507E-06	5.0357E-06	3.67677E-06	5.70893E-06	5.71345E-06	8.51239E-06	5.17578E-06	6.26797E-06	6.67618E-06	6.36337E-06	5.39289E-06	5.79136E-06
W0T4J4	KLMA_10341	4.33294E-06	2.76236E-06	2.87224E-06	4.41278E-06	4.97122E-06	4.4297E-06	3.84048E-06	3.0452E-06	4.26129E-06	3.09154E-06	4.11913E-06	1.90638E-06
W0TE50	KLMA_60037	3.32462E-06	2.16072E-06	1.90198E-06	2.71855E-06	2.65734E-06	2.41017E-06	2.92157E-06	3.39641E-06	4.02792E-06	2.17723E-06	2.17405E-06	1.89911E-06
W0TK04	KLMA_80178	7.96688E-07	7.79918E-07	5.53411E-07	2.38819E-07	2.56005E-07	4.06993E-08	2.90603E-07	6.47055E-07	7.83515E-07	8.14908E-07	2.47403E-07	7.41655E-07
W0T3V9	KLMA_10468	2.43717E-05	2.83855E-05	2.53992E-05	3.8903E-05	3.64098E-05	3.12464E-05	3.56379E-05	3.11631E-05	4.8396E-05	4.79671E-05	4.03013E-05	3.57192E-05
W0T8S6	KLMA_30153	1.13017E-05	7.87924E-06	7.17545E-06	9.2414E-06	8.19123E-06	1.2204E-05	1.05807E-05	9.25212E-06	1.36925E-05	1.78831E-05	1.19652E-05	9.6162E-06
W0TAW4	KLMA_20781	4.54796E-06	1.51608E-05	2.9297E-05	2.10783E-05	2.16903E-05	2.34822E-05	2.16375E-05	2.22157E-05	2.89713E-05	1.86488E-05	2.93076E-05	2.65258E-05
W0TC93	KLMA_40624	1.83964E-05	3.7923E-05	4.32426E-05	4.88345E-05	4.71697E-05	5.47967E-05	3.73498E-05	4.61038E-05	4.64352E-05	5.76049E-05	7.25254E-05	6.86951E-05
W0T523	KLMA_20264	3.96204E-06	3.1266E-06	4.69856E-06	3.63586E-06	4.92675E-06	5.80682E-06	5.03442E-06	5.49362E-06	6.51507E-06	5.19758E-06	6.60862E-06	4.34694E-06
W0T942	KLMA_30011	1.98878E-06	9.24453E-06	1.3322E-05	2.55168E-05	8.24214E-06	8.6991E-06	1.67769E-05	1.12134E-05	1.47759E-05	2.62362E-05	3.07199E-05	2.87071E-05
W0T7K4	KLMA_10457	8.21876E-06	6.23231E-06	1.20543E-05	9.72734E-06	1.09583E-05	1.39986E-05	1.97909E-05	1.29162E-05	3.19134E-05	1.81287E-05	1.2187E-05	1.04429E-05
W0TCS3	KLMA_30599	6.11378E-05	5.74543E-05	8.55174E-05	6.07016E-05	6.88618E-05	7.5591E-05	0.000138501	0.000148519	0.000148378	0.000126868	0.000111833	0.000119789
W0TFK1	KLMA_70312	4.61916E-06	1.03139E-05	1.81792E-05	1.66426E-05	1.18667E-05	1.48229E-05	1.47419E-05	1.019E-05	1.99369E-05	2.7831E-05	3.44579E-05	1.55144E-05
W0T8D4	KLMA_10712	1.25505E-05	1.0759E-05	2.35251E-05	2.94635E-05	2.27546E-05	2.68193E-05	2.32519E-05	1.31865E-05	1.79964E-05	1.87175E-05	2.36109E-05	1.90417E-05
W0TBW6	KLMA_40494	4.68898E-06	5.59481E-06	5.7115E-06	4.30295E-06	3.31686E-06	4.02038E-06	5.23597E-06	9.09026E-06	5.62061E-06	7.7651E-06	5.09981E-06	4.14836E-06
W0TDT2	KLMA_60219	2.54296E-05	1.90711E-05	2.58845E-05	2.3336E-05	2.1599E-05	4.19532E-05	2.83961E-05	3.31896E-05	2.86121E-05	2.97585E-05	3.32093E-05	3.8042E-05
W0T5P3	KLMA_20282	1.02409E-05	1.28577E-05	2.38211E-05	3.52108E-05	2.71933E-05	4.78164E-05	2.44196E-05	1.38487E-05	1.73369E-05	2.54537E-05	2.51426E-05	2.03579E-05
W0T4W1	KLMA_10813	1.104E-05	1.17405E-05	1.05439E-05	1.47715E-05	1.58345E-05	1.48282E-05	1.67811E-05	1.38353E-05	1.58306E-05	1.87356E-05	2.31299E-05	2.05002E-05
W0T7K9	KLMA_10462	3.28266E-05	3.43716E-05	2.63699E-05	4.46786E-05	5.3824E-05	5.23089E-05	4.31533E-05	2.29716E-05	2.29074E-05	3.24317E-05	3.22855E-05	4.53237E-05
W0T6J0	KLMA_20220	1.22483E-05	3.67067E-05	5.20567E-05	2.35996E-05	2.97333E-05	2.78437E-05	4.47219E-05	2.37452E-05	2.52916E-05	4.63844E-05	6.25427E-05	5.00409E-05
W0TIE1	KLMA_70051	3.53497E-05	3.19848E-05	4.16734E-05	5.7691E-05	4.53348E-05	4.88552E-05	4.5717E-05	3.56161E-05	6.18272E-05	4.18773E-05	5.34661E-05	3.84957E-05
W0TFM8	KLMA_50245	4.58188E-05	3.20809E-05	4.99098E-05	4.78457E-05	4.06133E-05	4.80292E-05	5.11638E-05	3.30176E-05	5.77917E-05	5.00589E-05	5.91192E-05	5.83531E-05
W0TD70	KLMA_50344	6.44133E-06	7.43169E-06	8.32756E-06	1.80955E-05	1.51247E-05	2.14084E-05	1.60289E-05	1.62799E-05	1.41171E-05	1.78958E-05	1.87459E-05	1.43131E-05
W0TE99	KLMA_60087	6.67321E-06	4.95024E-06	7.15256E-06	1.07984E-05	7.71545E-06	1.08398E-05	1.08648E-05	7.4518E-06	1.02207E-05	1.50431E-05	9.24966E-06	9.58552E-06
W0T3P9	KLMA_10051	1.43628E-05	1.63213E-05	2.63434E-05	2.85126E-05	4.2691E-05	7.12843E-05	2.22784E-05	2.36257E-05	1.33971E-05	2.21688E-05	2.2292E-05	2.11147E-05
W0T527	KLMA_10279	2.58096E-05	2.03674E-05	2.22407E-05	2.69514E-05	1.48985E-05	1.77142E-05	2.14729E-05	1.63445E-05	2.53829E-05	2.46472E-05	2.29071E-05	2.00102E-05
W0T8N1	KLMA_30687	2.04326E-05	1.65393E-05	2.38975E-05	1.70979E-05	1.87653E-05	2.99463E-05	2.92621E-05	2.79413E-05	2.98482E-05	4.26458E-05	2.88524E-05	2.52036E-05
W0TCJ3	KLMA_50104	6.5833E-06	6.17319E-06	7.45308E-06	4.57785E-06	5.15718E-06	7.12777E-06	1.14485E-05	9.67101E-06	7.60962E-06	1.2592E-05	7.35576E-06	9.45638E-06
W0T9U9	KLMA_40373	1.52193E-06	1.15452E-05	1.14747E-05	1.80955E-05	3.20017E-05	2.52811E-05	2.88343E-05	1.84303E-05	6.33483E-06	2.97688E-05	2.92795E-05	2.11248E-05
W0T3J8	KLMA_10348	2.17461E-05	2.44984E-05	2.4539E-05	3.65372E-05	2.80127E-05	3.66773E-05	3.8634E-05	2.86912E-05	3.4026E-05	3.03429E-05	2.59599E-05	2.51132E-05
W0TEG9	KLMA_60167	3.67712E-05	3.30647E-05	4.65591E-05	5.03931E-05	5.05746E-05	5.05863E-05	6.53276E-05	2.82918E-05	3.46783E-05	3.30534E-05	3.93987E-05	3.98598E-05
W0T633	KLMA_20619	2.50252E-05	1.78337E-05	1.05685E-05	5.48164E-05	1.04837E-05	9.34175E-06	6.2274E-05	3.53166E-05	2.18367E-05	8.36163E-06	1.0287E-06	1.51131E-06
W0T947	KLMA_30016	1.11251E-05	1.41577E-05	1.50719E-05	2.28451E-05	2.10576E-05	1.33224E-05	3.10735E-05	1.57651E-05	9.92122E-06	1.03187E-05	6.02781E-06	1.60327E-05
W0TFW6	KLMA_60420	1.9173E-05	9.54836E-06	1.61723E-05	2.2292E-05	1.84617E-05	2.57519E-05	2.14097E-05	1.53834E-05	1.42883E-05	2.85942E-05	3.02408E-05	1.39169E-05
W0THL5	KLMA_70443	1.94034E-05	1.47137E-05	1.26544E-05	2.2965E-05	3.38784E-05	2.15225E-05	1.30863E-05	1.37712E-05	1.98394E-05	1.4671E-05	5.79007E-06	1.24584E-05
W0T7C7	KLMA_20263	4.47464E-06	7.84503E-06	1.66854E-05	6.99762E-06	6.75906E-06	5.66245E-06	1.02979E-05	1.12372E-05	1.34718E-05	1.30414E-05	1.48984E-05	2.2361E-05
W0TBQ4	KLMA_50161	6.41483E-06	6.2798E-06	1.13926E-05	9.0393E-06	1.86445E-05	2.9288E-05	1.34619E-05	1.42277E-05	1.18563E-05	2.60205E-05	2.56456E-05	2.42912E-05
W0TBV3	KLMA_40479	3.0507E-05	2.85728E-05	3.22568E-05	3.17497E-05	2.68055E-05	2.6887E-05	3.8634E-05	2.74547E-05	2.13865E-05	2.22434E-05	3.28908E-05	3.60023E-05
W0T3B0	KLMA_10253	3.75794E-06	3.50058E-06	4.24057E-06	5.8948E-06	3.97172E-06	5.10927E-06	5.26948E-06	3.78626E-06	5.45466E-06	7.51715E-06	6.10667E-06	4.02587E-06
W0TBD3	KLMA_30099	9.3716E-06	8.13998E-06	7.61529E-06	6.07428E-05	1.67272E-05	2.06067E-05	1.43166E-05	1.23099E-05	1.77341E-05	2.13621E-05	1.10521E-05	1.20976E-05
W0TB61	KLMA_30009	0	1.52111E-07	1.51757E-06	5.71952E-05	1.5054E-06	4.38183E-07	5.66775E-08	3.21427E-08	0	2.68587E-05	8.7096E-06	7.52969E-06
0	0	0	0	0	1.09546E-05	1.68179E-06	0	0	0	0	5.35344E-06	0	1.97436E-06
W0TAV6	KLMA_30631	2.67599E-05	2.50928E-05	2.86821E-05	1.16959E-05	1.12971E-05	1.336E-05	2.2643E-05	1.84091E-05	2.63174E-05	3.2171E-05	3.4629E-05	3.02496E-05
W0TBT2	KLMA_30264	2.14747E-05	1.32135E-05	2.54667E-05	2.60066E-05	1.6058E-05	2.1816E-05	2.39798E-05	2.27383E-05	4.91463E-05	2.65653E-05	3.41343E-05	3.20355E-05
W0T9L0	KLMA_40081	1.14256E-05	9.0795E-06	1.71261E-05	1.10026E-05	1.38153E-05	1.55342E-05	1.88303E-05	1.15117E-05	2.05734E-05	1.11206E-05	1.9887E-05	1.62187E-05
W0TE03	KLMA_50402	6.57654E-06	9.886E-06	1.16798E-05	1.02847E-05	7.64184E-06	1.03241E-05	8.95082E-06	8.58343E-06	8.88493E-06	1.38641E-05	1.17496E-05	1.16622E-05
W0TD08	KLMA_60226	2.41337E-06	2.36257E-06	1.8276E-06	6.35761E-07	2.22621E-07	3.31679E-07	7.73615E-07	3.06338E-06	1.08401E-06	1.12745E-06	3.20779E-06	1.53945E-06
W0TE32	KLMA_70044	1.16125E-05	3.76527E-05	4.53429E-05	3.80483E-05	1.69084E-05	2.05832E-05	2.49507E-05	2.25125E-05	3.49617E-05	2.53645E-05	3.11099E-05	3.23341E-05
W0T518	KLMA_20042	1.4565E-05	1.22833E-05	1.76525E-05	2.99087E-05	1.90026E-05	2.83117E-05	1.47479E-05	1.01151E-05	2.66946E-05	2.77366E-06	4.10135E-06	3.78724E-06
W0TEZ4	KLMA_60075	1.41407E-05	9.2269E-06	1.05887E-05	1.41599E-05	1.99418E-05	2.81288E-05	1.43986E-05	8.95491E-06	1.1499E-05	9.64085E-06	1.11154E-05	8.487E-06
W0TDD4	KLMA_40110	7.70678E-06	1.31233E-05	1.1854E-05	1.85632E-05	1.79304E-05	1.71537E-05	1.57564E-05	1.60521E-05	1.25042E-05	2.41324E-05	2.24287E-05	2.38339E-05
W0T3Q1	KLMA_10610	4.03264E-06	3.94776E-06	4.20266E-06	2.46662E-06	2.72075E-06	2.76777E-06	5.77525E-06	4.06303E-06	4.32764E-06	7.00965E-06	7.3765E-06	3.19406E-06
W0T7N1	KLMA_20333	4.5506E-06	4.45481E-06	1.08168E-05	0.000116799	1.33599E-05	1.41522E-05	7.28474E-06	4.81837E-06	1.2345E-05	2.55975E-05	1.06756E-05	1.33443E-05
W0T9G9	KLMA_30403	5.88462E-06	4.64378E-06	4.94362E-06	6.53091E-06	6.53609E-06	6.55596E-06	7.24663E-06	7.17045E-06	1.18941E-05	7.27958E-06	5.59425E-06	6.12346E-06
W0TFW4	KLMA_70095	1.89029E-05	1.20014E-05	2.70009E-05	1.73467E-05	1.39861E-05	1.57899E-05	2.1108E-05	1.31277E-05	1.68573E-05	1.57982E-05	2.33604E-05	1.92979E-05
W0TD23	KLMA_30709	7.33229E-06	6.79571E-06	9.05803E-06	9.85461E-06	8.4124E-06	6.04261E-06	8.18763E-06	1.12829E-05	1.43762E-05	1.09843E-05	8.53108E-06	7.79477E-06
W0TJY9	KLMA_80163	1.95499E-05	2.20242E-05	3.48265E-05	2.95975E-05	2.21313E-05	2.65798E-05	3.99695E-05	2.04248E-05	1.39069E-05	1.9997E-05	3.40278E-05	2.3411E-05
W0T9T6	KLMA_30286	2.2008E-06	1.50285E-06	4.89774E-06	6.18267E-06	7.17063E-06	4.32923E-06	5.24783E-06	2.97613E-06	2.90503E-06	3.02142E-06	4.76727E-07	2.14409E-06
W0T8A1	KLMA_10677	1.80792E-05	1.9462E-05	2.43334E-05	2.08336E-05	1.17301E-05	2.09135E-05	2.11848E-05	1.4377E-05	1.8658E-05	1.106E-05	1.63542E-05	1.51017E-05
W0T2L5	KLMA_10180	1.78775E-05	1.75011E-05	2.6617E-05	1.55599E-05	1.16348E-05	1.91166E-05	1.32072E-05	1.84834E-05	2.44225E-05	1.92478E-05	2.77469E-05	3.56708E-05
W0TEJ2	KLMA_60484	6.88433E-06	4.92625E-06	4.84716E-06	6.92817E-06	8.45101E-06	1.03304E-05	6.28116E-06	6.6099E-06	7.42489E-06	8.42661E-06	9.20484E-06	8.13987E-06
W0THS3	KLMA_80312	6.79622E-06	7.05541E-06	8.69899E-06	8.20459E-06	7.92489E-06	1.37708E-05	1.43125E-05	8.78192E-06	1.26054E-05	1.31104E-05	1.21848E-05	1.08508E-05
W0TBW7	KLMA_50488	4.22263E-06	2.59821E-06	3.27874E-06	1.70061E-05	2.69832E-05	3.64542E-05	5.70256E-06	5.85494E-06	5.02238E-06	6.19199E-06	3.38983E-05	2.72893E-05
W0TER0	KLMA_60529	1.50642E-05	9.75648E-06	1.76504E-05	1.75978E-05	2.70435E-05	2.09401E-05	2.14136E-05	1.67893E-05	1.25705E-05	2.32514E-05	2.70787E-05	2.06755E-05
W0T5V9	KLMA_20332	2.75188E-06	5.18355E-06	4.11142E-06	6.1806E-05	8.07911E-06	1.20369E-05	6.30916E-07	1.40479E-06	8.84059E-07	2.12646E-05	7.21635E-06	7.3953E-06
W0TC80	KLMA_50361	5.38276E-06	2.3103E-06	1.27822E-06	7.07438E-07	2.80764E-06	7.57314E-06	6.01068E-06	5.8677E-06	1.24664E-05	0	0	0
W0TFY3	KLMA_50360	7.79717E-07	2.65899E-06	1.29283E-06	0	2.34807E-06	2.19884E-06	4.24066E-06	2.40494E-06	6.24474E-06	5.5688E-06	7.90471E-06	3.95178E-06
0	0	4.06387E-07	2.50052E-07	0	3.7293E-07	8.20784E-08	1.22288E-07	1.48235E-07	8.40665E-08	1.30554E-07	1.35785E-07	7.43362E-07	2.94979E-07
W0TD85	KLMA_50364	1.97198E-06	1.23199E-07	2.08665E-07	0	7.78113E-08	0	1.40529E-07	2.43974E-07	7.29037E-07	0	0	0
W0TDR9	KLMA_50559	1.75029E-05	1.02478E-05	1.09095E-05	2.94079E-05	2.3963E-05	1.85548E-05	1.67577E-05	2.0294E-05	1.98091E-05	3.27791E-05	2.45579E-05	1.87508E-05
W0T8Q2	KLMA_30712	1.1448E-05	8.73833E-06	1.10271E-05	2.50763E-05	2.16687E-05	4.27347E-06	9.96751E-06	2.21936E-05	1.39668E-05	3.58474E-05	1.93548E-05	1.98347E-05
W0T3V0	KLMA_10655	1.60695E-06	1.03001E-06	3.17802E-06	9.65534E-07	5.48804E-07	9.69237E-07	4.19488E-06	3.1153E-06	1.34561E-05	1.2552E-06	1.00024E-06	7.63715E-07
W0TJM6	KLMA_80028	1.35314E-05	1.62124E-05	1.46112E-05	1.24174E-05	1.44017E-05	1.98319E-05	2.02803E-05	6.80172E-06	9.28274E-06	1.09862E-05	8.97305E-06	1.20209E-05
W0TH20	KLMA_80369	5.00732E-06	3.08104E-06	2.02066E-06	3.4236E-06	2.06361E-06	3.07454E-06	2.90594E-06	6.10146E-06	4.92453E-06	6.56883E-06	5.64272E-06	3.6346E-06
W0T9A7	KLMA_30695	1.20865E-05	9.39176E-06	1.39791E-05	1.48868E-05	1.18896E-05	1.23565E-05	1.07128E-05	8.49445E-06	1.18867E-05	1.51309E-05	9.1203E-06	1.28489E-05
W0TCV6	KLMA_30634	1.17419E-05	2.80225E-05	3.23013E-05	3.02294E-05	2.41434E-05	2.2609E-05	4.36034E-05	2.27633E-05	1.6837E-05	2.51045E-05	2.08732E-05	2.83435E-05
0	0	9.82626E-06	6.9117E-06	7.00144E-06	6.47906E-06	9.66617E-06	1.07299E-05	1.16359E-05	1.17357E-05	1.53751E-05	2.05088E-05	1.62175E-05	1.03476E-05
W0TFG0	KLMA_50170	3.01165E-05	3.71433E-05	3.8133E-05	3.86412E-05	3.43581E-05	3.49518E-05	4.23681E-05	2.94071E-05	5.00829E-05	6.17462E-05	5.2827E-05	2.75405E-05
W0TCE4	KLMA_50431	3.0191E-06	2.61028E-06	3.86437E-06	2.93805E-06	1.75638E-06	3.29676E-06	4.89099E-06	3.60576E-06	6.531E-06	3.66064E-06	3.77575E-06	3.48657E-06
W0T3Y8	KLMA_10670	9.67324E-06	7.88655E-06	1.6039E-05	1.21441E-05	1.15082E-05	1.21907E-05	9.58385E-06	8.38048E-06	8.44073E-06	1.48446E-05	1.02792E-05	9.60572E-06
W0T408	KLMA_10518	1.13674E-05	2.4855E-05	1.41894E-05	8.85111E-06	1.06058E-05	1.21553E-05	1.07703E-05	6.10802E-06	6.42703E-06	2.51282E-06	7.14942E-06	2.83702E-06
W0TAN7	KLMA_30556	2.06829E-06	4.08824E-06	6.92436E-06	1.65007E-05	1.56938E-05	2.48507E-05	1.04351E-05	1.22748E-05	9.19042E-06	1.06847E-05	7.88222E-06	6.78309E-06
W0T4J0	KLMA_10336	1.7606E-05	1.81417E-05	1.00372E-05	9.28836E-06	1.51211E-05	1.70713E-05	9.69072E-06	1.4193E-05	1.30352E-05	1.70803E-05	1.76173E-05	1.34514E-05
W0TCB9	KLMA_50019	1.23074E-05	9.30086E-06	1.46624E-05	4.85342E-06	3.48933E-07	1.00031E-06	2.38592E-05	1.71435E-05	3.27251E-05	2.00288E-05	2.38737E-05	1.96499E-05
W0T883	KLMA_20568	1.85318E-05	1.57645E-05	2.28935E-05	2.98383E-05	2.0104E-05	1.70713E-05	2.96663E-05	1.86714E-05	3.19775E-05	2.43108E-05	4.01825E-05	2.14012E-05
W0TI30	KLMA_60493	7.47023E-06	1.06626E-05	1.34554E-05	8.68547E-06	1.18159E-05	1.76044E-05	1.21624E-05	1.70213E-05	1.21891E-05	1.95475E-05	2.36168E-05	1.95098E-05
W0TBW0	KLMA_30299	7.29888E-06	5.81305E-06	7.12155E-06	9.97693E-06	7.41319E-06	1.10448E-05	7.6306E-06	7.59274E-06	8.61908E-06	1.34492E-05	9.31301E-06	9.54396E-06
W0TA03	KLMA_20466	7.99192E-06	5.00903E-06	1.04282E-05	6.93009E-06	6.38785E-06	8.62996E-06	8.43277E-06	5.93266E-06	1.01605E-05	9.5825E-06	7.17918E-06	7.4991E-06
